"Date","Time","Test Total Time",
04/12/10,14:32:37,(hh:mm:ss): 5:15:16,
,,,
"Rated Capacity","Tested Capacity",,
1.60 Ah,1.31 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Seidio1600mAh_N1_0a_250mA",331,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",332,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",333,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",334,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",335,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",336,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",337,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",338,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",339,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",340,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",341,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",342,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",343,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",344,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",345,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",346,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",347,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",348,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",349,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",350,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",351,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",352,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",353,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",354,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",355,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",356,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",357,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",358,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",359,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",360,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",361,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",362,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",363,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",364,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",365,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",366,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",367,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",368,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",369,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",370,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",371,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",372,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",373,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",374,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",375,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",376,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",377,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",378,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",379,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",380,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",381,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",382,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",383,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",384,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",385,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",386,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",387,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",388,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",389,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",390,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",391,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",392,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",393,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",394,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",395,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",396,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",397,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",398,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",399,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",400,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",401,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",402,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",403,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",404,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",405,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",406,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",407,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",408,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",409,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",410,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",411,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",412,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",413,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",414,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",415,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",416,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",417,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",418,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",419,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",420,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",421,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",422,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",423,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",424,4.04,0.249
"Seidio1600mAh_N1_0a_250mA",425,4.04,0.248
"Seidio1600mAh_N1_0a_250mA",426,4.04,0.251
"Seidio1600mAh_N1_0a_250mA",427,4.04,0.251
