"Date","Time","Test Total Time",
06/12/10,01:12:26,(hh:mm:ss): 9:36:39,
,,,
"Rated Capacity","Tested Capacity",,
3.20 Ah,2.40 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Mugen_3200mAh_Hero_0a",334,4.06,0.248
"Mugen_3200mAh_Hero_0a",335,4.06,0.251
"Mugen_3200mAh_Hero_0a",336,4.06,0.251
"Mugen_3200mAh_Hero_0a",337,4.06,0.249
"Mugen_3200mAh_Hero_0a",338,4.06,0.248
"Mugen_3200mAh_Hero_0a",339,4.06,0.251
"Mugen_3200mAh_Hero_0a",340,4.06,0.251
"Mugen_3200mAh_Hero_0a",341,4.06,0.251
"Mugen_3200mAh_Hero_0a",342,4.06,0.248
"Mugen_3200mAh_Hero_0a",343,4.06,0.251
"Mugen_3200mAh_Hero_0a",344,4.06,0.251
"Mugen_3200mAh_Hero_0a",345,4.06,0.249
"Mugen_3200mAh_Hero_0a",346,4.06,0.248
"Mugen_3200mAh_Hero_0a",347,4.06,0.251
"Mugen_3200mAh_Hero_0a",348,4.06,0.251
"Mugen_3200mAh_Hero_0a",349,4.06,0.251
"Mugen_3200mAh_Hero_0a",350,4.06,0.249
"Mugen_3200mAh_Hero_0a",351,4.06,0.251
"Mugen_3200mAh_Hero_0a",352,4.06,0.251
"Mugen_3200mAh_Hero_0a",353,4.06,0.249
"Mugen_3200mAh_Hero_0a",354,4.06,0.249
"Mugen_3200mAh_Hero_0a",355,4.06,0.249
"Mugen_3200mAh_Hero_0a",356,4.06,0.251
"Mugen_3200mAh_Hero_0a",357,4.06,0.249
"Mugen_3200mAh_Hero_0a",358,4.06,0.251
"Mugen_3200mAh_Hero_0a",359,4.06,0.251
"Mugen_3200mAh_Hero_0a",360,4.06,0.251
"Mugen_3200mAh_Hero_0a",361,4.06,0.251
"Mugen_3200mAh_Hero_0a",362,4.06,0.248
"Mugen_3200mAh_Hero_0a",363,4.06,0.251
"Mugen_3200mAh_Hero_0a",364,4.06,0.251
"Mugen_3200mAh_Hero_0a",365,4.06,0.249
"Mugen_3200mAh_Hero_0a",366,4.06,0.251
"Mugen_3200mAh_Hero_0a",367,4.06,0.251
"Mugen_3200mAh_Hero_0a",368,4.06,0.251
"Mugen_3200mAh_Hero_0a",369,4.06,0.248
"Mugen_3200mAh_Hero_0a",370,4.06,0.249
"Mugen_3200mAh_Hero_0a",371,4.06,0.251
"Mugen_3200mAh_Hero_0a",372,4.06,0.248
"Mugen_3200mAh_Hero_0a",373,4.06,0.251
"Mugen_3200mAh_Hero_0a",374,4.06,0.251
"Mugen_3200mAh_Hero_0a",375,4.06,0.251
"Mugen_3200mAh_Hero_0a",376,4.06,0.251
"Mugen_3200mAh_Hero_0a",377,4.06,0.249
"Mugen_3200mAh_Hero_0a",378,4.06,0.251
"Mugen_3200mAh_Hero_0a",379,4.06,0.251
"Mugen_3200mAh_Hero_0a",380,4.06,0.249
"Mugen_3200mAh_Hero_0a",381,4.06,0.248
"Mugen_3200mAh_Hero_0a",382,4.06,0.251
"Mugen_3200mAh_Hero_0a",383,4.06,0.251
"Mugen_3200mAh_Hero_0a",384,4.06,0.251
"Mugen_3200mAh_Hero_0a",385,4.06,0.248
"Mugen_3200mAh_Hero_0a",386,4.06,0.251
"Mugen_3200mAh_Hero_0a",387,4.06,0.251
"Mugen_3200mAh_Hero_0a",388,4.06,0.249
"Mugen_3200mAh_Hero_0a",389,4.06,0.248
"Mugen_3200mAh_Hero_0a",390,4.06,0.251
"Mugen_3200mAh_Hero_0a",391,4.06,0.251
"Mugen_3200mAh_Hero_0a",392,4.06,0.251
"Mugen_3200mAh_Hero_0a",393,4.06,0.249
"Mugen_3200mAh_Hero_0a",394,4.06,0.251
"Mugen_3200mAh_Hero_0a",395,4.06,0.251
"Mugen_3200mAh_Hero_0a",396,4.06,0.249
"Mugen_3200mAh_Hero_0a",397,4.06,0.248
"Mugen_3200mAh_Hero_0a",398,4.06,0.251
"Mugen_3200mAh_Hero_0a",399,4.06,0.251
"Mugen_3200mAh_Hero_0a",400,4.06,0.248
"Mugen_3200mAh_Hero_0a",401,4.06,0.251
"Mugen_3200mAh_Hero_0a",402,4.06,0.251
"Mugen_3200mAh_Hero_0a",403,4.06,0.249
"Mugen_3200mAh_Hero_0a",404,4.06,0.248
"Mugen_3200mAh_Hero_0a",405,4.06,0.251
"Mugen_3200mAh_Hero_0a",406,4.06,0.251
"Mugen_3200mAh_Hero_0a",407,4.06,0.251
"Mugen_3200mAh_Hero_0a",408,4.06,0.251
"Mugen_3200mAh_Hero_0a",409,4.06,0.251
"Mugen_3200mAh_Hero_0a",410,4.06,0.251
"Mugen_3200mAh_Hero_0a",411,4.06,0.249
"Mugen_3200mAh_Hero_0a",412,4.06,0.249
"Mugen_3200mAh_Hero_0a",413,4.06,0.249
"Mugen_3200mAh_Hero_0a",414,4.06,0.251
"Mugen_3200mAh_Hero_0a",415,4.06,0.249
"Mugen_3200mAh_Hero_0a",416,4.06,0.251
"Mugen_3200mAh_Hero_0a",417,4.06,0.251
"Mugen_3200mAh_Hero_0a",418,4.06,0.251
"Mugen_3200mAh_Hero_0a",419,4.06,0.248
"Mugen_3200mAh_Hero_0a",420,4.06,0.249
"Mugen_3200mAh_Hero_0a",421,4.06,0.251
"Mugen_3200mAh_Hero_0a",422,4.06,0.251
"Mugen_3200mAh_Hero_0a",423,4.06,0.248
"Mugen_3200mAh_Hero_0a",424,4.06,0.249
"Mugen_3200mAh_Hero_0a",425,4.06,0.251
"Mugen_3200mAh_Hero_0a",426,4.06,0.251
"Mugen_3200mAh_Hero_0a",427,4.06,0.251
"Mugen_3200mAh_Hero_0a",428,4.06,0.248
"Mugen_3200mAh_Hero_0a",429,4.06,0.251
"Mugen_3200mAh_Hero_0a",430,4.06,0.251
"Mugen_3200mAh_Hero_0a",431,4.06,0.248
"Mugen_3200mAh_Hero_0a",432,4.06,0.249
"Mugen_3200mAh_Hero_0a",433,4.06,0.251
"Mugen_3200mAh_Hero_0a",434,4.06,0.251
"Mugen_3200mAh_Hero_0a",435,4.06,0.251
"Mugen_3200mAh_Hero_0a",436,4.06,0.248
"Mugen_3200mAh_Hero_0a",437,4.06,0.251
"Mugen_3200mAh_Hero_0a",438,4.06,0.251
"Mugen_3200mAh_Hero_0a",439,4.06,0.249
"Mugen_3200mAh_Hero_0a",440,4.06,0.249
"Mugen_3200mAh_Hero_0a",441,4.06,0.249
"Mugen_3200mAh_Hero_0a",442,4.06,0.251
"Mugen_3200mAh_Hero_0a",443,4.06,0.249
"Mugen_3200mAh_Hero_0a",444,4.06,0.251
"Mugen_3200mAh_Hero_0a",445,4.06,0.251
"Mugen_3200mAh_Hero_0a",446,4.06,0.251
"Mugen_3200mAh_Hero_0a",447,4.06,0.249
"Mugen_3200mAh_Hero_0a",448,4.06,0.248
"Mugen_3200mAh_Hero_0a",449,4.06,0.251
"Mugen_3200mAh_Hero_0a",450,4.06,0.251
"Mugen_3200mAh_Hero_0a",451,4.06,0.249
"Mugen_3200mAh_Hero_0a",452,4.06,0.251
"Mugen_3200mAh_Hero_0a",453,4.06,0.251
"Mugen_3200mAh_Hero_0a",454,4.06,0.249
"Mugen_3200mAh_Hero_0a",455,4.06,0.249
"Mugen_3200mAh_Hero_0a",456,4.06,0.249
